0.046259;0.309804;31264.595703;10585.769531;
0.090642;0.076494;-20284.666016;-49296.417969;
0.042255;-0.142580;-23999.517578;9857.443359;
0.120009;-0.349957;303725.437500;38959.890625;
-0.138089;0.085798;112098.742188;115252.226562;
0.303966;-0.096605;3405.124512;17123.539062;
0.322797;-0.339115;-57860.777344;-18226.314453;
0.312916;0.135529;14162.219727;-3357.686035;
-0.184160;0.308946;-48509.902344;-28720.849609;
-0.368470;0.107416;-32542.460938;-341640.218750;
0.299326;0.331433;-14900.138672;2714.648438;
-0.368475;-0.049145;-129206.835938;764074.875000;
-0.391747;0.309210;26298.181641;60018.996094;
-0.061005;-0.369838;-677410.875000;-14847.884766;
-0.147238;-0.102659;-273178.593750;-85969.593750;
-0.364389;-0.167243;572326.750000;-738178.687500;
-0.193967;-0.253747;441280.906250;57653.488281;
-0.235064;-0.399424;757505.750000;-211861.437500;
-0.391621;-0.273040;-893563.250000;113538.875000;
-0.340684;-0.398048;-571927.937500;694557.125000;
-0.446135;-0.349195;433223.625000;-128144.632812;
-0.399230;-0.434936;50481.617188;-465993.625000;
-0.463842;-0.406280;-679822.812500;148800.343750;
-0.468495;-0.398918;677602.937500;53055.722656;
